Nombre,Dirección,Localidad,Teléfono,Horario,Precio,Página web,Contacto,Correo electrónico,Observaciones,Perfil 1,Perfil 2,Foto
Casa Museo Quinta de Bolívar,KR 7 # 11 - 28,Candelaria,334 41 50 - 336 03 49,"Martes a Viernes 9:00A.M.-5:00P.M., Sábado y Domingo 10:00A.M.-4:00P.M.","Adultos $3000, Estudiantes $2000, Niños $1000",www.museoindependencia.gv.co,NR,museoindependencia@mincultura.gov.co,Ninguna,Cultural,Mochilero,
Casa Museo Uribe Uribe universidad Libre ,CL 9 # 4-13 LA ENTRADA SE REALIZA POR LA PUERTA PRINCIPAL DE LA UNIVERSIDAD LIBRE CL 8 # 5-80,Candelaria,382 10 96 - 382 10 00,Lunes a Viernes DE 10:00 A.M. a 4:00 P.M.,Si se hace cita previa se hace la visita guiada sin ningún costo.,NR,Javier A. Corredor: Coordinador del museo.,javier.corredor@unilibre.edu.co,Ninguna,Cultural,Mochilero,
Casa Natal José María Vergara y Vergara,CL 12 # 3 - 96,Candelaria,NA,NA,NA,NA,NA,NA,Ninguna,Cultural,Mochilero,
Casa Republicana - Manzana Norte - Biblioteca Luis Ángel Arango,CL 11 # 4 - 14 BIBLIOTECA LUIS ANGEL ARANGO,Candelaria,343 12 24 - 343 12 12 ,"Lunes a sábado: 9:00 A.M. a 7:00 P.M. Último ingreso a las 6:30 P.M., Martes cerrado, Domingos y festivos: 10:00 A.M. a 5:00 P.M. Último ingreso a las 4:30 P.M.",NA,http://banrepcultural.org/coleccion-de-arte-banco-de-la-republica/tema/casa-republicana,"Efraín Riaño, Director de la unidad de artes y colecciones, Ángela Pérez Mejía, Gerencia General.","prensablaa@banrep.gov.co   Felicitaciones, quejas y denuncias: atencionalciudadano@banrep.gov.co                                            ",Ninguna,Ocio,Mochilero,
Casa Sanz de Santamaría,KR 5 # 9 - 10,candelaria,NR ,NR ,NR ,NR ,NR ,NR ,Ninguna,Cultural,Mochilero,
Casa Sede de la Sociedad Bolivariana de Colombia,AC 20 # 5 - 17 ESTE,Candelaria,243 11 66 - 281 20 56,Lunes a Viernes DE 10:00 A.M. a 4:00 P.M. Funcionarios y Visitantes,NA,NR,"Mónica Gómez, directora. ",s.bolivariana@outlook.com,Ninguna,Cultural,Mochilero,
Casa Sede de la Sociedad Económica de Amigos del País,CL 11 # 6 - 42,Candelaria,336 58 49 - 342 17 35,Lunes a Sábado de 11:30A.M. a 4:30P.M.,NA,www.lasociedad.com,Cristián Olivera,lasociedadcr@gmail.co,Ninguna,Cultural,Mochilero,
Casa Sede Instituto Colombiano de Antropología e Historia,CL 12 # 2 - 41,Candelaria,444 05 44,Lunes a Viernes de 8:00 A.M. a 5:00P.M. ,NA,http://www.icanh.gov.co/,Carlos Forero - Librero y encargado de atención al ciudadano,contactenos@icanh.gov.co,Funcionan oficinas,Cultural,Mochilero,
Casa Sede Instituto Distrital de Patrimonio Cultural,CL 12B # 2 - 58,Candelaria,355 08 00,Lunes a Viernes de 8:00 A.M. a 5:00 P.M. Funcionarios y Visitantes,NA,http://idpc.gov.co/,"Alejandra Quintero, Recepción.",idpc@idpc.gov.co; info@idpc.gov.co,Ninguna,Cultural,Mochilero,
Casa Sede para el Desarrollo de La Democracia Luis Carlos Galán (Actual Sede Corporación  Escuela Galán Para el Desarrollo de la Democracia),CL 10 # 4 - 21,Candelaria,342 50 00,Lunes a Viernes de 8:00 A.M. a 5:00 P.M.,NA,http://escuelagalan.org.co/,Judy Anzola,info@escuelagalan.org.co,Ninguna,Cultural,Mochilero,
Casa Villa Mejía Tagaste,AV CIUDAD DE CALI # 11B - 15,Kennedy,4193180,NA,NA,NR,NA,NA,"Actualmente la administración está a cargo de la comunidad Agustinos Recoletos, no se permite el ingreso a la casa ya que es un lugar de acogida exclusivo de la comunidad.",Cultural,Mochilero,
Castillo del Mono Osorio,KR 3 # 74 -00 ESQ,Chapinero,235 47 23,"Lunes a Viernes, desde las 10:00 A.M. Hasta la 6:30 P.M.",Alquiler de espacios,http://castillodelmonoosorio.com/,Claudia Díaz,castillodelmonoosorio@hotmail.com,Ninguna,Ocio,Cultural,
Centro Comercial Andino,KR 11 # 82 - 71,Chapinero,621 31 11,"Lunes a Domingo de 10:00 A.M. a 8:00 P.M., varía horario según locales comerciales",NA,https://www.centroandino.com.co/,Rosalba Malaver - Operadora,NR,Ninguna,Ocio,Negocio,
Centro Comercial Bulevar,AK 58 # 127 - 59,Suba,226 72 11,Lunes a Domingo 5:30 A.M. a 10 :00 P.M. (Varía según los locales comerciales),NA,www.bulevar.com.co,Juliana Ángel ( coordinadora de mercadeo),Coordinadooramercadeo@bulevar.com.co,Ninguna,Ocio,Negocio,
Centro Comercial Centro Mayor,CL 38A SUR # 34D - 51,Antonio Nariño,734 20 48,"Lunes  a Domingo  de 9:00 A.M. A 8:45 P.M., Viernes de 8:00 A.M. A 10:00P.M. (varía según atención de los locales)",NA,www.centromayor.com.co,Adriana Muñoz - Secretaria,servicioalcliente@centromayorcc.com,Ninguna,Ocio,Negocio,
Centro Comercial Santa fe Mi Mundo,CL 185 # 45 - 03 ,Suba,605 07 07,Domingo a Domingo 9:00 A.M. a 11:00 P.M. (Varía según los locales comerciales),NA,www.centrocomercialsantafe.com,Cesar Rodríguez ( Director de Operaciones),Cesar.rodriguez@centrocomercialsantafe.com,Ninguna,Ocio,Cultural,
Centro Cultural Gabriel García Márquez,CL 11 # 5 - 60,Candelaria,283 22 00 Extensión 4,Lunes a Sábado de 11:00 A.M. a 7:00 P.M.; Domingos y Festivos de 11:00 A.M. a 5:00 P.M.,NA,www.fce.com.co,Lizeth Gómez - Asistente del centro cultural,info@fce.com.co,Ninguna,Cultural,Ocio,
Centro Cultural y Biblioteca Pública Julio Mario Santodomingo,AC 170 # 67 - 51,Suba,379 25 30 Extensión 4001,Lunes a Sábados 8:00 A.M. a 12:00 P.M. a 2:00 P.M. a 5:00 P.M. ; Domingos 9:30 A.M. a  5:30 P.M. ,NA,http://www.biblored.gov.co/biblioteca-julio-mario,Alejandro Toro ( Director),Direccion-jm@biblored.gov.co,Ninguna,Cultural,Ocio,
Centro de Alto Rendimiento,AV 63 # 59A - 06,Barrios Unidos,437 71 00 Ext 1021,Lunes a Viernes de 8:00 A.M. a 5:00 P.M. (Publico en General); Lunes a Viernes de 6:00A.M. a 10:00 P.M. (Atletas); Sábados y Domingos de 6:00 A.M. a 8:00 P.M.,NA,www.coldeportes.gov.co,Luis Carlos Moreno,lmoreno@coldeportes.gov.co,Ninguna,Ocio,Mochilero,
Centro de Documentación - Instituto Distrital de Patrimonio Cultural,CL 12B # 2 - 96,Candelaria,355 08 00 - 281 35 39,"Horario de atención: Lunes a viernes de 8:00 A.M. a 5:00 P.M.
Asesoría Técnica: Martes de 7:30 A.M. a 11:30 A.M. y 1:00 P.M. a 4:00 P.M.
Consultas al historiador: Lunes a viernes: 8:00 A.M. a 12:00 m.
Archivo Predial: Lunes a viernes: 8:00 A.M. a 12:00 m.
Radicación: Lunes a viernes 8:00 A.M. a 5:00 P.M.",NA,http://idpc.gov.co/centro-de-documentacion/,Liliana Galindo - Equipo de transparencia y atención al cliente,centrodedocumentacion@idpc.gov.co,Ninguna,Negocio,Cultural,
Centro Interactivo de Ciencia y Tecnología Maloka,KR 68 # 24A - 51,Fontibón,427 27 07,Lunes a Viernes de 8:00 A.M. a 6:00 P.M.; Fines de semana y Festivos de 10:00 A.M. a 7:00 P.M. (Lunes después de festivo no abren),"Mega plan Maloka: 33.000
Plan maloka: 27.000
Domo de 8k: 11:700
Sala digital 3D: 11:700
Sala digital 2D: 10.900
Experiencias interactivas: 17.000",www.maloka.org,Yesica Rodríguez - VoluntariaPbx,info@maloka.org,Ninguna,Ocio,Cultural,
Centro Internacional,"Entre CL 26 hasta la CL 34 y entre KR 7 hasta la AV Caracas
",Santa Fe,NA,NA,NA,NA,NA,NA,Ninguna,Negocio,Cultural,
Centro Internacional Club Colombia antes Edificio Bavaria Davivienda,KR 10 # 27- 91,Santa Fe,282 69 77,Horario de administrativo Lunes a Viernes de 8:00 A.M. a 1:00 P.M. y 2:00 P.M. a 5:00 P.M. ,NA,NA,Cristina Unda ( Administradora),Administracion@edifcl.com,Ninguna,Negocio,Cultural,
Centro Urbano de Recreación  Compensar,KR 69 # 49A - 73,Engativa,307 70 01,"Lunes a Viernes de 5:00 A.M. 9:15 P.M., Sábado y Domingo de 6:00 A.M. a 7:15 P.M., Festivos de 8:00 A.M. a 5:00 P.M.","Lunes a Viernes: Ingreso Gratuito
Sábado, Domingo y Festivos según categoría, los menores de 5 años no pagan ingreso. El valor de las actividades dentro de las instalaciones se cancelan por a parte",https://corporativo.compensar.com/,NR,NR,Ninguna,Ocio,Mochilero,
Cerro de Guadalupe,ZONA SURORIENTAL DE LOS CERROS DE BOGOTÁ,Cerro de Guadalupe,NR ,NR ,NR ,NR ,NR ,NR ,Ninguna,Mochilero,Cultural,
Cerro Monserrate,VARIAS LOCALIDADES,Varias Localidades,NR,NR,NR,NR,NR,NR,Ninguna,Religioso,Cultural,
Cerros Orientales,VARIAS LOCALIDADES,Varias Localidades,NR,NR,NR,NR,NR,NR,Ninguna,Mochilero,Cultural,
Chorro Padilla ,KR 2 Este ,Santa Fe,NR,NR,NR,NR,NR,NR,Ninguna,Mochilero,Cultural,
Ciclo Rosa Audiovisual,NA,Varias Localidades,379 57 50 Extensión 3401,Según progrA.M.ación,Según programación,https://www.cinematecadistrital.gov.co/node/265,NA,NA,Ninguna,Mochilero,Ocio,
Ciclo vía,NA,Varias Localidades,660 5400 Extensiones 5207 - 5217,Todos los Domingos y Festivos de 7:00 A.M. a 2:00 P.M.,NA,http://www.idrd.gov.co/sitio/idrd/node/1606,NA,NA,Ninguna,Ocio,Mochilero,
Ciudad Salitre,SUR AC 22 NORTE AC 26 OCCIDENTE AV BOYACÁ ORIENTE AK50,Fontibón,NA,NA,NA,NA,NA,NA,Ninguna,Ocio,Mochilero,
Claustro de las Aguas,KR 2 # 18A - 58,Candelaria,555 03 25 - 555 03 26,NA,NA,http://www.artesaniasdecolombia.com.co:8080/PortalAC/C_nosotros/claustro-de-las-aguas_556,Alejandro Rueda,azastoque@artesaniasdecolombia.com,El claustro actualmente se encuentra en remodelación,Religioso,Cultural,
Claustro de San Agustín UNAL,KR 8 # 7 - 21,Candelaria,3422340 Extensión 29985,"Martes a Domingo, de 10:00 A.M. a 5:00 P.M.. Domingo y Festivos de 9:00 A.M. a 4:00 P.M.",NA,www.patrimoniocultural.unal.edu.co,Alejandro Burgos Bernal - Jefe División de Museos de la Universidad Nacional de Colombia (sede Bogotá).,museos@unal.edu.co,Ninguna,Religioso,Cultural,
Claustro Principal de la Universidad Colegio Mayor de Nuestra Señora del Rosario,Calle 12 No 6 - 25 UNIVERSIDAD DEL ROSARIO,Candelaria,297 02 00,Lunes a Viernes de 7:00 A.M. a 4:00 P.M.,NA,http://www.urosario.edu.co/Home/la-universidad/El-claustro/,Adinael Castellanos - Recepción,NR,Ninguna,Religioso,Cultural,
Club El Comercio,CL 62 # 5 - 88,Chapinero,210 41 00,"Martes a Domingo de 6:00 A.M. a 10:00 P.M., horario solo para socios e invitados",NA,www.clubdelcomerciobogota.com,Diana Garzón - Asistente de gerencia,gerencia@clubdelcomerciobogota.com,La persona que no pertenece al club solo puede ingresar cuando es invitado por algún asociado,Ocio,Negocio,
Colección de Instrumentos Musicales - Manzana Norte - Biblioteca Luis Ángel Arango,CL 11 # 4 -14 P2 BIBLIOTECA LUIS ANGEL ARANGO,Candelaria,343 12 24 - 343 12 12 ,Lunes a Sábado de 8:00 A.M. a 8:P.M.; Domingo de 8:00 A.M. a 4:00 P.M. (Horario visita colección),NA,www.banrepcultural.org/musica/colección-de-instrumentos,Wilmar Castro - Auxiliar Administrativo,educacionmuseos@banrep.gov.co; exposiciones@banrep.gov.co,La colección por encontrarse dentro de la sala de conciertos presta los servicios de la sala de conciertos de la biblioteca Luis Ángel Arango,Cultural,Mochilero,
Colección Historia de la Medicina - Claustro de San Agustín UNAL,KR 8 # 7 - 21,Candelaria,3422340 Extensión 29985,Bajo reserva  se puede visitar la colección del Museo de Historia de la Medicina de Martes a Viernes de 10:00 A.M. a 5:00 P.M..,NA,www.patrimoniocultural.unal.edu.co,Alejandro Burgos Bernal - Jefe División de Museos de la Universidad Nacional de Colombia (sede Bogotá).,museos@unal.edu.co,Ninguna,Cultural,Mochilero,
Colección Numismática - Casa de la moneda del Banco de la República,CL 11 # 4 - 93,Candelaria,NA,NA,NA,NA,NA,NA,NA,Cultural,Mochilero,
Colección Organologico Musical  - Claustro de San Agustín UNAL,KR 8 # 7 - 21,Candelaria,3165000 Ext. 12502,"Bajo reserva  se puede visitar la colección del Museo Organológivo Musical de martes a viernes, de 10:00 A.M. a 5:00 P.M.",NA,www.patrimoniocultural.unal.edu.co,Alejandro Burgos Bernal - Jefe División de Museos de la Universidad Nacional de Colombia (sede Bogotá).,museos@unal.edu.co,Ninguna,Cultural,Ocio,
Colección Pizano,KR 30 # 45 - 03 CIUDAD UNIVERSITARIA EDIFICIO 102 (BIBLIOTECA GABRIEL GARCÍA MARQUEZ),Teusaquillo,316 50 00 Extensión 17605,"Es necesario reservar previA.M.ente la visita en los siguientes horarios: Lunes a jueves de 8:00 A.M. a 5:00 P.M., Viernes de 8:00 A.M. a 4:00 P.M. No se atiende Sábado, Domingo y Festivos. El ingreso se realiza con registro. La colección cerrada es sólo para uso de investigación.",NA,www.patrimoniocultural.unal.edu.co,Alejandro Burgos Bernal - Jefe División de Museos de la Universidad Nacional de Colombia ,museos@unal.edu.co,Ninguna,Cultural,Ocio,
Complejo Acuático Simón Bolívar,CALLE 63 # 45 - 00,Barrios Unidos ,221 0622 - 221 0623,"Ingreso para particulares se maneja mediante los progrA.M.as del IDRD.
Ingreso Prácticas: Martes a Viernes de 5:00 A.M. a 10:00 P.M., Sábado y Domingo de 5:00 A.M. a 6:00 P.M. 
Horario de atención al público: Lunes a Viernes de 8:00 A.M. a 4:00 P.M.",NA,http://www.idrd.gov.co/sitio/idrd/content/complejo-acuatico-simon-bolivar,Yessica Peñuela,yessica.penuela@idrd.gov.co,Ninguna,Ocio,Cultural,
Corporación Casa de la Cultura Cacique Hyntiba,CL 17A # 99 - 53,Fontibón,293 59 90,Lunes a Viernes de 8:00 A.M. a 5:30 P.M.; Sábados de 8:30 A.M. a 1:00 P.M.,NA,NA,María Fernanda Contreras - Asistente Administrativa,casaculturalfontibon@hotmail.com,Ninguna,Cultural,Ocio,
Custodia La Lechuga (Museo de Arte del Banco de la República,CL 11 # 4 - 21,Candelaria,NA,"Viajó de forma temporal a Lisboa y París. En enero de 2018 regresará a Colombia, donde se seguirá exponiendo de forma permanente y gratuita",NA,NA,NA,NA,NA,Cultural,Mochilero,
Divercity,CL 185 # 45 - 03  LOCAL 201,Suba,601 51 00,Lunes a Jueves 9:00 A.M. a 5:00 P.M. Viernes 9:00 A.M. a 6:00 P.M. Fines de Semana 10:00 A.M. a 7:00 P.M.,Bebe $20000 Niño 3 a 13 años $ 41.500  Adulto $15.900,www.parquedivercity.com.co,Walter valbuena ( Director general del parque),Waltervalbuena@divercity.com.co,Ninguna,Ocio,,
Edificio Academia Colombiana de la Lengua,KR 3 # 17 - 34,Santa Fe,334 31 52,"Consultas: Lunes a Viernes de 8:00 A.M. a 12:00 m. y de 2:00 P.M. a 5:00 P.M., telefónicA.M.ente o a través de formulario on line",NA,www.academiacolombianadelengua.com,Jaime Posada ( Director),Jaime-posada2004@yahoo.es,Horario de funcionarios de Lunes a Viernes de 8:00 A.M. a 5:00 p.M.,Cultural,Ocio,
Edificio Academia Superior de Artes de Bogotá - Palacio La Merced,KR 13 # 14 - 69,Santa Fe,243 85 54,Horario de Funcionarios Lunes a Viernes 8:00 A.M. a 5:00 P.M. Estudiantes de 12 :00 M. a 11: 00 P.M. Sábados de 6:00 A.M. a 12:00 P.M.,NA,www.udistrital.edu.co,Santiago Niño Morales ( Decano) / yury Torres (Asistente),Santiagoninomorales@gmail.com / Distritalyury@gmail.com,Servicio de alimentación suministrada por el distrito a personas de nivel 1 y 2 ,Cultural,Mochilero,
Edificio de la Superintendencia Bancaria,CL 7 # 4 - 49,Candelaria,594 00 01 Extensión 2172 ó 2174,Horario administrativo: Lunes a Viernes de 8:30 A.M. a 4:30 P.M.,NA,www.superfinanciera.gov.co,Clara Lucia Saavedra - Asistente,clcabas@superfinanciera.gov.co,Para ingreso se debe hacer registro,Negocio,Cultural,
Edificio de Posgrados de la Universidad de Bogotá Jorge Tadeo Lozano,CL 23 # KR 3 ESQUINA,Santa Fe,242 70 30,NA,NA,http://www.utadeo.edu.co/es,NA,NA,Ninguna,Cultural,Negocio,
Edificio del Concejo de  Bogotá,CLL34 # 27 - 36,Teusaquillo,208 88 10,Horario de Funcionario: Lunes a Viernes de 8:00A.M. A 5:00P.M. ,NA,http://concejodebogota.gov.co/cbogota/site/edic/base/port/inicio.php,Guillermo Matallana - Funcionario Correspondencia,NA,Ninguna,Negocio,Cultural,
Edificio del Gun Club,CL 16 # 7 - 76,Santa Fe,341 45 75,Horario administrativos de Lunes a Viernes de 8:00 A.M. a 5:00 P.M. El ingreso para personas externas se debe realizar una carta solicitando autorización de ingreso.,NA,NA,Mauricio Romero (Administrador),Mauricio.romero@fcm.org.co,Ninguna,Cultural,Ocio,
Edificio del Hotel Tequendama,KR 10 #16 - 20,Santa Fe,382 03 00,24 Horas 7 días a las semana si son huéspedes ,"Ingreso al edificio Libre, tarifas según habitación",www.sht.com.co,Cristian Quintero (Botones),Botoneshotel@sht.com.co,Ninguna,Ocio,Cultural,
Edificio del Jockey Club,KR 6 # 15 - 18,Santa Fe,NA,Horario de la Facultad,NA,NA,NA,NA,Ninguna,Ocio,Cultural,
Edificio Ecopetrol,KR 13 # 36 - 24,Santa Fe,234 40 00  ,Horario de administrativos de Lunes a Viernes  7: 00 A.M. a 4:30 P.M.,NA,www.ecopetrol.com,Mauricio Téllez( Jefe de comunicaciones),Mauriciotellez@ecopetrol.com.co,Ninguna,Negocio,,
Edificio El Tiempo Citytv,AC 13 # 6 - 77,Candelaria,344 40 60 - 294 01 00,Lunes a Viernes de 8:00 A.M. a 12:00 m y de 2:00 P.M. a 5:30 P.M. Funcionarios y visitantes,NA,NA,Edwin Rincón - Correspondencia,NA,Alberga actualmente las oficinas de City TV,Ocio,Negocio,
Edificio Galería del Mercado Barrio las Cruces - Plaza Distrital de Mercado Las Cruces,KR 5 # 1 F - 94,Santa Fe,NR ,"Lunes a Jueves de 8:00 A.M. a 5:00 P.M., Viernes de 8:00 A.M. a 3:00 P.M., Domingo y Festivos de 8:00 A.M. a 4:00 P.M.",NA,http://www.ipes.gov.co/index.php/19-plazas-de-mercado/150-plaza-distrital-de-las-cruces-la-mas-antigua-de-bogota,Alejandro Torres - Gerente - Jhon Rojas - Asistente,atorres@ipes.gov.co - jerojas@ipes.gov.co,Ninguna,Mochilero,Negocio,
Edificio Jefatura de Reclutamiento y Control de Reservas ,CL 9 y 10 Y KR 14 y 15,Los Mártires,336 22 11,Horario de Atención de 8:00A.M. A 12:00P.M. Y De 2:00P.M. A 6:00P.M.,NA,www.reclutamiento.mil.co,José Niño (sargento),atencionciudadanoejc@ejercito.mil.co,Ninguna,Negocio,,
Edificio Ministerio de Hacienda,KR 8 # 6C - 38,Candelaria,606 12 70,Lunes a Viernes de 8:00 A.M. a 5:00 P.M. Funcionarios,NA,NA,NR,atencionalcliente@mingacienda.gov.co,Para el ingreso se debe especificar la dependencia a la cual se va a ingresar y estar autorizados,Negocio,Cultural,
Edificio Monserrate,AC 13 # 4 - 49,Candelaria,284 73 07,Lunes a Viernes de 6:00 A.M. a 8:00 P.M.; Sábados de 8:00 A.M. a 5:00 P.M. (No aplica para todos los establecimientos),NA,NA,Cristian Iguaran - Administrador,nicoluzltva@yahoo.es,En el edificio funcionan diferentes establecimientos comerciales.,Ocio,Cultural,
Edificio Quiosco de la Luz,AK # 26  - 07 PARQUE INDEPENDENCIA,Santa Fe,555 77 00 / 01,Horario Atención PIT: Lunes a Sábado de 9:00 A.M. a 5:00 P.M.,NA,Página web del PIT: http://www.bogotaturismo.gov.co/puntos-de-informacion-turistica-pit,Johanna Jiménez ( Funcionaria),pitquiosco@idt.gov.co,Ninguna,Ocio,Cultural,
Edificio Samper Brush,AV JIMENEZ 10 - 58 ,Santa Fe,282 43 19,Horario de administrativos Lunes a Viernes 7:00  A.M. a 7:00 P.M.,NA,NA,Omaira Bedoya ( Administradora),Edificiosamperbrush@hotmail.com,Funcionan oficinas,Negocio,,
"Edificio Sede de la Dirección de Patrimonio, Artes, Etnografía y Fomento Regional",CL 9 # 8 - 31,Candelaria,342 41 00,"Lunes a Viernes de 8:00 A.M. a 5:00 P.M., según la oficina que se visite",NA,NA,NR,NR,"La dirección CL 9 # 8 - 31 se encuentra deshabiliatada, el ingreso se realiza por la KR 8 # 8 -55",Cultural,Mochilero,
"Edificio Sede de la Dirección de Patrimonio, Artes, Etnografía y Fomento Regional",CL 9 # 8 - 31,Candelaria,NR,NR,NR,NR,NR,NR,Ninguna,Cultural,Mochilero,
Edificio Sociedad Colombiana de Ingenieros,KR 4 # 10 - 41,Candelaria,555 05 20,Lunes a Viernes de 8:00 A.M. a 5:00 P.M. (Ingreso únicA.M.ente para ingenieros afiliados y socios),NA,www.sci.org.co,Ángela Rincón - Coordinadora comunicaciones,NR,"Solo ingresan los socios e ingenieros para realizar tramites, para otras personas el ingreso es con previa autorización.",Negocio,,
Edificio Torre Colpatria,KR 7 # 24 - 09,Santa Fe,609 16 75,Horario de funcionarios Lunes a Viernes 8:00 A.M. a 5:00 P.M.  ,NA,NA,Cristian Ballesteros ( Director de proyecto,Directorcolpatria@calliers.com,Ninguna,Ocio,Cultural,
Edificio World Service,KR 10 # 51 - 72,Santa Fe,282 51 72,Horarios Administrativos según oficinas,NA,NA,Carlos Galvis ( Administrador),Edificowordservice@hotmail.com,Oficinas publicas y privadas,Negocio,Ocio,
Eje Ambiental - Paseo de la Avenida Jiménez de Quezada,KR 10 Y KR 3 AC 13,Candelaria,355 08 00,NA,NA,NA,Instituto de Desarrollo Urbano,NA,Entidad responsavle Instituto Desarrollo Urbano (Según decreto 456 de 2013),Mochilero,Ocio,
El Retiro Centro Comercial,CL 81 # 11 - 94 - CL 82 # 11 - 75,Chapinero,745 55 45,Lunes a Jueves de 10:00 A.M. a 8:00 P.M.; Viernes y Sábado de 10:00 A.M. a 9:00 P.M.; Domingos y Festivos de 12:00 m a 7:00 P.M. (varía según atención de los locales),NA,www.elretirobogota.com,Ruth Granador - Auxiliar servicio al cliente,NR,Ninguna,Ocio,Negocio,
Escultura Abstracta - Pórtico,AV CARACAS CL 6 PARQUE TERCER MILENIO,Santa Fe,NA,NA,NR,NR,NR,NR,Ninguna,Cultural,Mochilero,
Escultura Ala Solar,AV EL DORADO AV AMÉRICAS CENTRO ADMINISTRATIVO DISTRITAL,Teusaquillo,NA,NA,NA,NA,Ingrid Duarte Pinto - Arquitecta Contratista - 3795750 Extensión 902,ingrid.duarte@idpc.gov.co ,"Autor: Alejandro Otero, Inauguración: 24 de julio de 1975 BICD - Resolución 0035 de 2006",Cultural,Mochilero,
Escultura Cabeza Luís Carlos Galán,SEPARADOR DE LA AV LA ESPERANZA ENTRE AV 68 Y KR 68B,Fontibón,NA,NA,NA,NA,NR,NR,Ninguna,Cultural,Mochilero,
Escultura del Buen Ciudadano,"KR 8 # 9 - 83, UBICADA EN CUBIERTA CONSTRUCCIÓN CASA DE LOS COMUNEROS",Candelaria,NR,NA,NR,NR,NR,NR,NR,Cultural,Mochilero,
Escultura Divino Niño del 20 de Julio - SANTUARIO DEL DIVINO NIÑO 20 DE JULIO,KR 6 # 27 - 65 SUR ,San Cristóbal,NA,Aplica horario de atención del templo,NA,NA,NA,NA,Ninguna,Cultural,Mochilero,
Escultura El Caracol - Caracol en Crecimiento,AC 26 # 66 - 63,Teusaquillo,NA,NA,NA,NA,Ingrid Duarte Pinto - Arquitecta Contratista - 3795750 Extensión 902,ingrid.duarte@idpc.gov.co ,"Autor: Eduardo Ramírez Villamizar, Inauguración: 1985 BICD - Resolución 0035 de 2006",Cultural,Mochilero,
Escultura El Maestro Cesar Rincón,KR 6 # 26 - 50,Santa Fe,283 74 33,"Se permite el acceso a extranjeros , universidades, colegios de 8:00 A.M. a 5:00 P.M.",NA,NA,NA,NA,La escultura se puede apreciar en la plaza de toros la santa María ,Cultural,Mochilero,
Escultura Hombre a Caballo,"CL 26 KR 22, ACCESO PRINCIPAL AL PARQUE EL RENACIMIENTO",Los Mártires,NA,NA,NA,NA,Ingrid Duarte Pinto - Arquitecta Contratista - 3795750 Extensión 902,ingrid.duarte@idpc.gov.co ,"Autor: Fernando Botero, Inauguración: 03 de noviembre de 2000 BICD - Resolución 0035 de 2006",Cultural,Mochilero,
Escultura Homenaje a Gandhi,CL 100 KR 7 COSTADO SURORIENTAL,Chapinero,NA,NA,NA,NA,Ingrid Duarte Pinto - Arquitecta Contratista - 3795750 Extensión 902,ingrid.duarte@idpc.gov.co ,"Autor: Feliza Bursztyn, Inauguración: 22 de mayo de 1971 BICD - Resolución 0035 de 2006",Cultural,Mochilero,
Escultura Homenaje a las Telecomunicaciones - Titanes de la Comunicación,KR 13 CL 23 ESQ SUROCCIDENTAL,Santa Fe,NA,NA,NA,NA,Ingrid Duarte Pinto - Arquitecta Contratista - 3795750 Extensión 902,ingrid.duarte@idpc.gov.co ,Ninguna,Cultural,Mochilero,
Escultura La Rebeca,KR 12 y 13 CL 25 y 26 COSTADO SURORIENTAL - PLAZOLETA LA REBECA,Santa Fe,NA,NA,NA,NA,Ingrid Duarte Pinto - Arquitecta Contratista - 3795750 Extensión 902,ingrid.duarte@idpc.gov.co ,"Auto: Roberto Henao Buriticá (obra atribuida), Inauguración: 19 de julio de 1926 BICD - Resolución 0035 de 2006",Cultural,Mochilero,
Escultura la Virgen del Campo - IGLESIA Y RECOLETA DE SAN DIEGO,AV JORGE ELIECER GAITÁN - CL 26 (CL 26 # 7 - 30),Santa Fe,NA,Aplica horario de atención del templo,NA,NA,NA,NA,Ninguna,Cultural,Mochilero,
Escultura Las Edades de Bogotá,KR 3 CL 22 ESQ NOROCCIDENTAL,Santa Fe,NA,NA,NA,NA,Ingrid Duarte Pinto - Arquitecta Contratista - 3795750 Extensión 902,ingrid.duarte@idpc.gov.co ,Ninguna,Cultural,Mochilero,
Escultura Lumbalu,COSTADO NORTE DE LA ROTONDA DE LA AK 68D CON AV DE LA CONSTITUCIÓN (CL 22 B),Fontibón,NA,NA,NA,NA,Ingrid Duarte Pinto - Arquitecta Contratista - 3795750 Extensión 902,ingrid.duarte@idpc.gov.co ,Ninguna,Cultural,Mochilero,
Escultura Mariposa - La Gran Mariposa,AV JIMÉNEZ KR 13 PLAZA DE SAN VICTORINO,Santa Fe,NA,NA,NA,NA,Ingrid Duarte Pinto - Arquitecta Contratista - 3795750 Extensión 902,ingrid.duarte@idpc.gov.co ,"Autor: Edgar Negret, Inauguración: 19 de junio de 2000 BICD - Resolución 0035 de 2006",Cultural,Mochilero,
Escultura Minerva,KR 4 CL 11 BIBLIOTECA LUIS ANGEL ARANGO,Candelaria ,NA,NA,NA,NA,Ingrid Duarte Pinto - Arquitecta Contratista - 3795750 Extensión 902,ingrid.duarte@idpc.gov.co ,"Autor: Vico Consorti, Inauguración: Abril de 1958 BICD - Resolución 0035 de 2006",Cultural,Mochilero,
Escultura Monumento al Silencio,"(TANQUES ACUEDUCTO PARQUE NACIONAL), AV CIRCUNVALAR CL 35",Santa Fe,NA,NA,NR,NR,NR,NR,Ninguna,Cultural,Mochilero,
